date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2024-12-27,META,599.41,601.85,589.8,599.81,8084229,0.4,0.06673229,597.7175,1.441825435596808,2024-12-27,8084229,599.81
2024-12-30,META,588.75,596.94,585.58,591.24,7025900,2.49,0.42293,590.6275,1.4069369809477283,2024-12-30,7025900,591.24
2024-12-31,META,592.27,593.97,583.85,585.51,6019520,-6.75,-1.14,588.9,1.383610161211529,2024-12-31,6019520,585.51
2025-01-02,META,589.72,604.91,587.82,599.24,12682300,9.52,1.61,595.4225,1.439504966617815,2025-01-02,12682300,599.24
2025-01-03,META,604.76,609.5,596.41,604.63,11436800,-0.13,-0.02149613,603.825,1.4614476469630353,2025-01-03,11436800,604.63
2025-01-06,META,611.83,630.99,605.62,630.2,14560800,18.38,3.0,619.66,1.565543071161049,2025-01-06,14560800,630.2
2025-01-07,META,631.7,632.1,608.23,617.89,12071500,-13.81,-2.19,622.48,1.5154290832112034,2025-01-07,12071500,617.89
2025-01-08,META,613.4,616.44,602.79,610.72,10085846,-2.67,-0.43691,610.8375,1.4862400260543889,2025-01-08,10085846,610.72
2025-01-10,META,610.03,629.91,597.34,615.86,19256600,5.83,0.95569,613.285,1.507164956847419,2025-01-10,19256600,615.86
2025-01-13,META,607.1,608.97,598.45,608.33,10785031,1.23,0.2026,605.7125,1.4765103403354507,2025-01-13,10785031,608.33
2025-01-14,META,605.07,605.49,588.55,594.25,13598000,-10.82,-1.79,598.34,1.4191906855560985,2025-01-14,13598000,594.25
2025-01-15,META,610.21,622.46,606.5,617.12,15524302,6.91,1.13,614.0725,1.5122944145904578,2025-01-15,15524302,617.12
2025-01-16,META,611.5,616.25,609.71,611.3,8355349,-0.2,-0.03270646,612.19,1.4886012050154696,2025-01-16,8355349,611.3
2025-01-17,META,624.05,624.97,603.67,612.77,17280600,-11.28,-1.81,616.365,1.494585572382348,2025-01-17,17280600,612.77
2025-01-21,META,617.83,621.5,609.01,616.46,11674016,-1.37,-0.22174,616.2,1.5096075557726758,2025-01-21,11674016,616.46
2025-01-22,META,623.3,633.7,619.43,623.5,12274011,0.2,0.03208728,624.9825,1.5382673831623515,2025-01-22,12274011,623.5
2025-01-23,META,627.36,636.6,621.15,636.45,9910200,9.09,1.45,630.39,1.5909868099658038,2025-01-23,9910200,636.45
2025-01-24,META,636.4,652.0,634.2,647.49,19065329,11.09,1.74,642.5225,1.635930630190523,2025-01-24,19065329,647.49
2025-01-27,META,626.61,663.87,625.1,659.88,28399200,33.27,5.31,643.865,1.686370297997069,2025-01-27,28399200,659.88
2025-01-28,META,666.0,682.58,659.47,674.33,20950107,8.33,1.25,670.595,1.7451962221136625,2025-01-28,20950107,674.33
2025-01-29,META,675.0,681.05,665.67,676.49,21377820,1.49,0.22074,674.5525,1.7539895782445858,2025-01-29,21377820,676.49
2025-01-30,META,696.82,710.79,676.1,687.0,29322900,-9.82,-1.41,692.6775,1.7967757694186615,2025-01-30,29322900,687.0
2025-01-31,META,691.0,705.3,685.58,689.18,19331660,-1.82,-0.26339,692.765,1.80565054551376,2025-01-31,19331660,689.18
2025-02-03,META,675.91,704.0,675.25,697.46,21415739,21.55,3.19,688.155,1.8393584106822995,2025-02-03,21415739,697.46
2025-02-04,META,702.5,707.71,691.61,704.19,13826300,1.69,0.24057,701.5025,1.8667562286272599,2025-02-04,13826300,704.19
2025-02-05,META,703.55,718.14,699.01,704.87,17793766,1.32,0.18762,706.3925,1.869524507409217,2025-02-05,17793766,704.87
2025-02-06,META,705.88,718.9,703.5,711.99,13080700,6.11,0.86559,710.0675,1.8985100146555935,2025-02-06,13080700,711.99
2025-02-07,META,716.8,725.01,711.75,714.52,16427100,-2.27,-0.31808,717.02,1.9088096401237586,2025-02-07,16427100,714.52
2025-02-10,META,718.56,721.2,711.33,717.4,12904317,-1.16,-0.16143,717.1225,1.9205341149649895,2025-02-10,12904317,717.4
2025-02-11,META,713.32,723.66,710.04,719.8,12998000,6.48,0.90843,716.705,1.9303045106660153,2025-02-11,12998000,719.8
2025-02-12,META,715.3,727.1,712.6,725.38,12016517,10.08,1.41,720.095,1.9530206806709005,2025-02-12,12016517,725.38
2025-02-13,META,721.52,729.0,718.04,728.56,12569100,7.04,0.97572,724.28,1.96596645497476,2025-02-13,12569100,728.56
2025-02-14,META,726.14,740.91,725.62,736.67,16901249,10.53,1.45,732.335,1.9989822504478099,2025-02-14,16901249,736.67
2025-02-18,META,736.0,737.0,706.44,716.37,21938703,-19.63,-2.67,723.9525,1.9163409868099661,2025-02-18,21938703,716.37
2025-02-19,META,704.1,707.0,695.39,703.77,17535500,-0.325,-0.04686834,702.565,1.86504640937958,2025-02-19,17535500,703.77
2025-02-20,META,697.28,705.63,693.64,694.84,12587408,-2.43,-0.34993,697.8475,1.8286923953753464,2025-02-20,12587408,694.84
2025-02-21,META,696.58,703.87,682.36,683.55,15660400,-13.03,-1.87,691.59,1.7827308255984367,2025-02-21,15660400,683.55
2025-02-24,META,686.28,687.27,662.45,668.13,15677000,-18.15,-2.64,676.0325,1.7199560332193453,2025-02-24,15677000,668.13
2025-02-25,META,665.97,668.0,641.86,657.5,20579700,-8.47,-1.27,658.3325,1.6766813222602184,2025-02-25,20579700,657.5
2025-02-26,META,659.65,683.01,658.0,673.7,14488705,14.05,2.13,668.59,1.7426314932421434,2025-02-26,14488705,673.7
2025-02-27,META,682.45,688.65,657.57,658.24,12500013,-24.21,-3.55,671.7275,1.6796938609347012,2025-02-27,12500013,658.24
2025-02-28,META,658.04,669.63,642.6,668.2,17534200,10.16,1.54,659.6175,1.720241003093959,2025-02-28,17534200,668.2
2025-03-03,META,673.68,681.25,650.84,655.05,10843800,-18.62,-2.77,665.205,1.6667073766487541,2025-03-03,10843800,655.05
2025-03-04,META,645.51,649.75,623.65,640.0,21495208,-5.51,-0.85359,639.7275,1.6054388536069046,2025-03-04,21495208,640.0
2025-03-05,META,641.0,659.5,637.66,656.47,13770026,15.47,2.41,648.6575,1.672488194105195,2025-03-05,13770026,656.47
2025-03-06,META,648.0,650.56,624.11,627.93,13446500,-20.07,-3.1,637.65,1.5563019052271616,2025-03-06,13446500,627.93
2025-03-07,META,625.37,634.79,600.61,625.66,21375700,0.29,0.04637255,621.6075,1.5470607392932747,2025-03-07,21375700,625.66
2025-03-10,META,608.07,610.11,586.87,597.99,21999943,-10.08,-1.66,600.76,1.4344162188568639,2025-03-10,21999943,597.99
2025-03-11,META,595.05,614.93,593.33,605.71,17401500,10.66,1.79,602.255,1.4658443250284972,2025-03-11,17401500,605.71
2025-03-12,META,629.9,633.33,609.35,619.56,15747000,-10.34,-1.64,623.035,1.522227650219834,2025-03-12,15747000,619.56
2025-03-13,META,620.25,620.5,586.51,590.64,16480324,-29.61,-4.77,604.475,1.404494382022472,2025-03-13,16480324,590.64
2025-03-14,META,602.8,608.86,594.78,607.6,12364505,4.8,0.79628,603.51,1.473538511643055,2025-03-14,12364505,607.6
2025-03-17,META,607.46,613.1,598.0,604.9,15473909,-2.56,-0.42143,605.865,1.4625468164794007,2025-03-17,15473909,604.9
2025-03-18,META,600.05,600.25,574.66,582.36,20297708,-17.69,-2.95,589.33,1.3707865168539328,2025-03-18,20297708,582.36
2025-03-19,META,584.28,592.32,574.77,584.06,20537500,-0.22,-0.03765318,583.8575,1.3777072138088258,2025-03-19,20537500,584.06
2025-03-20,META,582.76,610.2,579.51,586.0,24336505,3.25,0.55598,589.6175,1.3856049503338221,2025-03-20,24336505,586.0
2025-03-21,META,583.42,597.54,580.95,596.25,25015900,12.83,2.2,589.54,1.42733268197362,2025-03-21,25015900,596.25
2025-03-24,META,614.97,622.54,612.2,618.85,15741300,3.88,0.63093,617.14,1.519337241491614,2025-03-24,15741300,618.85
2025-03-25,META,626.76,633.88,621.18,626.31,15312540,-0.45,-0.07179782,627.0325,1.549706888128969,2025-03-25,15312540,626.31
2025-03-26,META,624.89,626.75,606.61,610.98,12661891,-13.91,-2.23,617.3075,1.4872984855886666,2025-03-26,12661891,610.98
2025-03-27,META,602.0,614.25,600.1,602.58,10436524,0.58,0.09634551,604.7325,1.4531021006350762,2025-03-27,10436524,602.58
2025-03-28,META,600.31,601.75,573.92,576.74,17602823,-23.57,-3.93,588.18,1.3479075069206972,2025-03-28,17602823,576.74
2025-03-31,META,563.5,578.7,553.3,576.36,21124700,12.86,2.28,567.965,1.3463605276013682,2025-03-31,21124700,576.36
2025-04-01,META,570.84,589.91,570.0,586.0,12836600,15.16,2.66,579.1875,1.3856049503338221,2025-04-01,12836600,586.0
2025-04-02,META,574.91,592.66,573.36,583.93,13470800,9.02,1.57,581.215,1.377177984041687,2025-04-02,13470800,583.93
2025-04-03,META,546.22,552.56,530.3,531.62,34777500,-14.6,-2.67,540.175,1.1642240677414102,2025-04-03,34777500,531.62
2025-04-04,META,506.62,518.0,494.2,504.73,38589814,-1.89,-0.37306,505.8875,1.0547549259078326,2025-04-04,38589814,504.73
2025-04-07,META,485.1,539.37,481.9,516.25,36606136,31.15,6.42,505.655,1.1016528252727569,2025-04-07,36606136,516.25
2025-04-08,META,543.25,547.43,502.86,510.45,28034211,-32.8,-6.04,525.9975,1.0780410356619443,2025-04-08,28034211,510.45
2025-04-09,META,509.27,587.89,502.11,585.77,39216600,76.51,15.02,546.26,1.3846686207458068,2025-04-09,39216600,585.77
2025-04-10,META,575.49,581.3,535.3,546.29,28173500,-29.2,-5.07,559.595,1.223945611463931,2025-04-10,28173500,546.29
